Date,State,Vaccines,Cases
9/9/2021,AK,749630,90271
9/8/2021,AK,747554,89466
9/7/2021,AK,747155,88658
9/6/2021,AK,739446,88143
9/5/2021,AK,738399,87628
9/4/2021,AK,736809,87113
9/3/2021,AK,735293,86598
9/2/2021,AK,733429,86028
9/18/2021,AK,765238,96688
9/17/2021,AK,763376,96002
9/16/2021,AK,761075,95132
9/15/2021,AK,759522,94105
9/14/2021,AK,758318,93039
9/13/2021,AK,757384,92363
9/12/2021,AK,754497,91890
9/11/2021,AK,754346,91418
9/10/2021,AK,752270,90946
9/1/2021,AK,731751,85358
8/9/2021,AK,704160,75056
8/8/2021,AK,704155,74784
8/7/2021,AK,703975,74514
8/6/2021,AK,702821,74244
8/5/2021,AK,701729,73931
8/4/2021,AK,700531,73584
8/31/2021,AK,730407,84597
8/30/2021,AK,729517,83991
8/3/2021,AK,699605,73257
8/29/2021,AK,726856,83620
8/28/2021,AK,726501,83250
8/27/2021,AK,724964,82880
8/26/2021,AK,723342,82371
8/25/2021,AK,721608,81671
8/24/2021,AK,720003,81097
8/23/2021,AK,717197,80533
8/22/2021,AK,717156,80181
8/21/2021,AK,716988,79830
8/20/2021,AK,715503,79479
8/2/2021,AK,697609,72988
8/19/2021,AK,714088,79038
8/18/2021,AK,712734,78407
8/17/2021,AK,711778,77774
8/16/2021,AK,711092,77343
8/15/2021,AK,709232,77009
8/14/2021,AK,709158,76676
8/13/2021,AK,707991,76343
8/12/2021,AK,706538,76030
8/11/2021,AK,705607,75654
8/10/2021,AK,704538,75295
8/1/2021,AK,697509,72753
7/9/2021,AK,680539,68791
7/8/2021,AK,679337,68732
7/7/2021,AK,678145,68674
7/6/2021,AK,678029,68634
7/5/2021,AK,674667,68595
7/4/2021,AK,672104,68556
7/31/2021,AK,697440,72519
7/30/2021,AK,696377,72285
7/3/2021,AK,668685,68517
7/29/2021,AK,695163,72021
7/28/2021,AK,694288,71757
7/27/2021,AK,693657,71521
7/26/2021,AK,693321,71286
7/25/2021,AK,691722,71107
7/24/2021,AK,691691,70929
7/23/2021,AK,690518,70751
7/22/2021,AK,689556,70539
7/21/2021,AK,688769,70328
7/20/2021,AK,687880,70109
7/2/2021,AK,667278,68478
7/19/2021,AK,690541,69891
7/18/2021,AK,690243,69745
7/17/2021,AK,687815,69599
7/16/2021,AK,686971,69453
7/15/2021,AK,685764,69320
7/14/2021,AK,684753,69187
7/13/2021,AK,683718,69069
7/12/2021,AK,683394,68951
7/11/2021,AK,682881,68897
7/10/2021,AK,681805,68844
7/1/2021,AK,660235,68428
6/9/2021,AK,623531,67763
6/8/2021,AK,623367,67730
6/7/2021,AK,622928,67698
6/6/2021,AK,621223,67680
6/5/2021,AK,618609,67664
6/4/2021,AK,616473,67648
6/30/2021,AK,658672,68379
6/3/2021,AK,614726,67591
6/29/2021,AK,655493,68339
6/28/2021,AK,653331,68300
6/27/2021,AK,650919,68272
6/26/2021,AK,649109,68245
6/25/2021,AK,644782,68218
6/24/2021,AK,643516,68198
6/23/2021,AK,642096,68179
6/22/2021,AK,641457,68145
6/21/2021,AK,641221,68112
6/20/2021,AK,639941,68031
6/2/2021,AK,612892,67541
6/19/2021,AK,638888,68005
6/18/2021,AK,637512,67982
6/17/2021,AK,636187,67959
6/16/2021,AK,634868,67936
6/15/2021,AK,633467,67910
6/14/2021,AK,632568,67885
6/13/2021,AK,630956,67863
6/12/2021,AK,629530,67843
6/11/2021,AK,627519,67823
6/10/2021,AK,625893,67793
6/1/2021,AK,612692,67507
5/9/2021,AK,571368,66272
5/8/2021,AK,571320,66196
5/7/2021,AK,569040,66120
5/6/2021,AK,567031,66004
5/5/2021,AK,564720,65908
5/4/2021,AK,563184,65762
5/31/2021,AK,612275,67481
5/30/2021,AK,611608,67455
5/3/2021,AK,562875,65678
5/29/2021,AK,610038,67429
5/28/2021,AK,607946,67403
5/27/2021,AK,605559,67357
5/26/2021,AK,603860,67317
5/25/2021,AK,602501,67252
5/24/2021,AK,601963,67199
5/23/2021,AK,601098,67167
5/22/2021,AK,598449,67137
5/21/2021,AK,595885,67107
5/20/2021,AK,593159,67043
5/2/2021,AK,562442,65587
5/19/2021,AK,590878,66963
5/18/2021,AK,587995,66867
5/17/2021,AK,587406,66814
5/16/2021,AK,586727,66769
5/15/2021,AK,583641,66726
5/14/2021,AK,580781,66683
5/13/2021,AK,578970,66574
5/12/2021,AK,577317,66491
5/11/2021,AK,576062,66407
5/10/2021,AK,575174,66350
5/1/2021,AK,560662,65498
4/9/2021,AK,448337,62212
4/8/2021,AK,443287,61969
4/7/2021,AK,436681,61747
4/6/2021,AK,432690,61530
4/5/2021,AK,431436,61446
4/4/2021,AK,428556,61329
4/30/2021,AK,552792,65409
4/3/2021,AK,420238,61197
4/29/2021,AK,550524,65266
4/28/2021,AK,543274,65100
4/27/2021,AK,541593,64916
4/26/2021,AK,540565,64786
4/25/2021,AK,539630,64703
4/24/2021,AK,536961,64503
4/23/2021,AK,533546,64367
4/22/2021,AK,530134,64225
4/21/2021,AK,524758,64007
