State,ID,Population,Fully_Vaccinated_Month12,Total_Cases_Month12,Fully_Vaccinated_Month11,Total_Cases_Month11,Fully_Vaccinated_Month10,Total_Cases_Month10,Fully_Vaccinated_Month09,Total_Cases_Month09,Fully_Vaccinated_Month08,Total_Cases_Month08,Fully_Vaccinated_Month07,Total_Cases_Month07,Fully_Vaccinated_Month06,Total_Cases_Month06,Fully_Vaccinated_Month05,Total_Cases_Month05,Fully_Vaccinated_Month04,Total_Cases_Month04,Fully_Vaccinated_Month03,Total_Cases_Month03,Fully_Vaccinated_Month02,Total_Cases_Month02,Fully_Vaccinated_Month01,Total_Cases_Month01
Alabama,AL,5024279,2477863,1291192,2477117,1290698,2453426,1271460,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Alaska,AK,733391,449438,236471,449380,236471,444763,228237,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arizona,AZ,7151502,4408271,1992471,4406487,1992471,4352169,1962920,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arkansas,AR,3011524,1624098,828166,1623014,827709,1609584,812948,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
California,CA,39538223,28017316,9040591,28009145,9035249,27708341,8867026,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Colorado,CO,5773714,4006691,1330851,4005753,1329345,3974464,1301611,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Connecticut,CT,3605944,2787629,731532,2786975,731128,2764670,719327,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Delaware,DE,989948,663120,258428,662913,258347,655127,254719,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Florida,FL,21538187,14234524,5832733,14229442,5831359,14118218,5780682,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,GA,10711908,5736709,2481419,5734815,2480368,5671974,2451908,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hawaii,HA,1455271,1099050,232845,1098786,232845,1089305,228073,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Idaho,ID,1839106,955066,441375,954809,440783,945244,413372,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Illinois,IL,12812508,8604088,3051797,8614072,3050647,8503109,3013709,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Indiana,IN,6785528,3659074,1688240,3658109,1687920,3626718,1674269,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iowa,IA,3190369,1937264,757334,1936826,757334,1922643,745530,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kansas,KS,2937880,1766706,769046,1766204,769046,1745263,762081,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kentucky,KY,4505836,2538204,1304372,2537387,1302791,2515316,1258447,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Louisiana,LA,4657757,2463282,1167026,2462260,1166866,2436341,1157117,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Maine,ME,1362359,1056996,233537,1056759,232953,1051490,212435,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Maryland,MD,6177224,4502551,1008178,4501261,1007748,4457347,997047,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Massachusetts,MA,7029917,5376667,1685055,5375341,1684036,5336437,1661206,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Michigan,MI,10077331,5952818,2376353,5951610,2375430,5889772,2343162,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Minnesota,MN,5706494,3867829,1424107,3866906,1423683,3830382,1404662,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mississippi,MS,2961279,1526622,793278,1526028,793201,1510183,785528,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Missouri,MO,6154913,3402620,1405420,3401479,1405420,3372143,1387860,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Montana,MT,1084225,600914,272036,600755,271948,596255,261722,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nebraska,NE,1961504,1215004,477197,1214654,477186,1205071,452601,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nevada,NV,3104614,1850322,710848,1849772,710848,1831584,677345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New Hampshire,NH,1377529,944578,300799,964492,300692,946944,293697,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New Jersey,NJ,9288994,6636114,2185323,6634523,2184240,6568615,2155400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New Mexico,NM,2117522,1470224,516026,1469183,515818,1454046,507323,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
New York,NY,20201249,14775812,2649103,14771307,2647645,14632320,2616907,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
North Carolina,NC,10439388,6262277,2615124,6260694,2613901,6201249,2559793,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
North Dakota,ND,779094,415856,239391,415798,239339,414179,236784,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ohio,OH,11799448,6768001,2666030,6765792,2663835,6712161,2642330,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oklahoma,OK,3959353,2231324,1029977,2229014,1029977,2209577,1014388,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oregon,OR,4237256,2910479,700960,2909788,700660,2888724,685953,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pennsylvania,PA,13002700,8626380,2772886,8624090,2771566,8535603,2738475,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Rhode Island,RI,1097379,860781,341087,860530,340884,850948,354045,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
South Carolina,SC,5118425,2903711,1465739,2902895,1465739,2859563,1449247,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
South Dakota,SD,886667,533452,236797,533287,236750,527824,234961,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tennessee,TN,6910840,3679233,2017481,3678317,2017149,3646584,1991015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Texas,TX,29145505,17552672,6613467,17544668,6608537,17323697,6501313,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Utah,UT,3271616,2038866,926322,2038845,926149,2022786,918222,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Vermont,VT,643077,502263,106370,501977,106209,499195,102257,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Virginia,VA,8631393,6176112,1659723,6174658,1658581,6122124,1625498,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Washington,WA,7052081,5471446,1443998,5469983,1442947,5419707,1410596,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
West Virginia,WV,1793716,1022393,496182,1022106,495960,1015030,481818,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Wisconsin,WI,5893718,3780383,1579906,3779552,1579385,3747663,1564381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Wyoming,WY,576851,294533,155815,294445,155815,292007,154082,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
